,Player,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,Seasons
0,AB de Villiers,80,77,17,2592,7.06,1629,26.02,1,25,195,148,6
1,Aaron Finch,53,51,4,1180,4.82,881,27.35,0,9,114,49,5
2,Abdul Samad,25,20,4,226,4.06,159,39.5,0,0,12,14,3
3,Abhijeet Tomar,1,1,0,4,4.0,8,50.0,0,0,1,0,1
4,Abhinav Manohar,8,7,1,108,18.0,75,144.0,0,0,14,3,1
5,Abhishek Sharma,36,34,6,667,5.14,493,27.26,0,2,64,25,5
6,Adam Milne,8,6,2,23,2.88,29,38.11,0,0,0,1,2
7,Adam Zampa,11,2,0,5,1.25,8,17.86,0,0,1,0,2
8,Aditya Tare,6,5,0,26,2.5,38,32.9,0,0,4,0,2
9,Aiden Markram,20,18,5,527,19.21,393,65.43,0,3,37,23,2
10,Ajinkya Rahane,77,73,6,1879,3.5,1543,16.54,1,11,200,38,7
